COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,,,VACCINES_USED,,,Abdala,Anhui ZL - Recombinant,AstraZeneca ,Beijing CNBG - BBIBP-CorV,CanSino ,Sputnik V,Janssen - ,Moderna,Novavx,Pfizer ,Covishield,Sinovac,Soberana02,Wuhan CNBG
Curaçao,CUW,AMRO,REPORTING,23-07-2021,172716,91649,105.255,55.852,81067,49.403,24-02-2021,3,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Cyprus,CYP,EURO,REPORTING,25-07-2021,951858,514161,107.2,57.901,437697,51.231,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Czechia,CZE,EURO,REPORTING,25-07-2021,9858873,5395485,92.2,50.454,4463388,42.872,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Democratic Republic of the Congo,COD,AFRO,REPORTING,26-07-2021,81384,78871,0.091,0.088,2513,0.003,19-04-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Denmark,DNK,EURO,REPORTING,25-07-2021,6831599,3945896,117.3,67.767,2885703,50.377,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Djibouti,DJI,EMRO,REPORTING,26-07-2021,26796,17986,2.712,1.82,8810,0.892,15-03-2021,5,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,No,Covishield,Sinovac,No,No
Dominica,DMA,AMRO,REPORTING,23-07-2021,40334,20784,56.026,28.87,19550,27.156,12-02-2021,3,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Dominican Republic,DOM,AMRO,REPORTING,23-07-2021,9637523,5432072,88.842,50.075,3944218,36.359,16-02-2021,3,,,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,Sinovac,No,No
Ecuador,ECU,AMRO,REPORTING,23-07-2021,9055887,7087388,51.328,40.171,1968499,11.157,21-01-2021,3,,,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,Pfizer ,No,Sinovac,No,No
Egypt,EGY,EMRO,REPORTING,26-07-2021,5337506,3697974,5.216,3.614,1639532,1.602,24-01-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,No,Sinovac,No,No
El Salvador,SLV,AMRO,REPORTING,23-07-2021,3860861,2468324,59.524,38.055,1392537,21.469,17-02-2021,5,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,Covishield,Sinovac,No,No
Equatorial Guinea,GNQ,AFRO,REPORTING,26-07-2021,293702,174001,20.934,12.402,119701,8.532,12-02-2021,2,,,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,No,Sinovac,No,No
Estonia,EST,EURO,REPORTING,25-07-2021,1105143,600121,83.2,45.157,505022,40.536,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Eswatini,SWZ,AFRO,REPORTING,26-07-2021,66553,38326,5.737,3.303,27227,2.347,19-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Ethiopia,ETH,AFRO,REPORTING,26-07-2021,2179990,2022933,1.896,1.76,157057,0.137,13-03-2021,3,,,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Falkland Islands (Malvinas),FLK,AMRO,OWID,14-04-2021,4407,2632,126.529,75.567,1775,50.962,,1,,,AstraZeneca - AZD1222,,,No,Abdala,No,No,No,No,No,No,No,No,No,No,No,No
Faroe Islands,FRO,EURO,OWID,27-07-2021,62969,34555,128.863,70.715,28414,58.148,,2,,,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Fiji,FJI,WPRO,REPORTING,26-07-2021,553676,449934,61.764,50.191,103742,11.573,07-03-2021,3,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,No,Covishield,No,No,No
Finland,FIN,EURO,REPORTING,25-07-2021,5316617,3565112,96.2,64.524,1751505,31.7,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
France,FRA,EURO,REPORTING,25-07-2021,68948598,39159654,102.4,58.169,29788944,44.323,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
French Guiana,GUF,AMRO,REPORTING,23-07-2021,98065,57577,32.833,19.277,40488,13.556,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No
French Polynesia,PYF,WPRO,REPORTING,22-07-2021,137967,83207,49.115,29.621,70827,25.214,18-01-2021,2,,,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,Janssen - ,No,No,Pfizer ,No,No,No,No
Gabon,GAB,AFRO,REPORTING,26-07-2021,87181,52830,3.917,2.374,34351,1.543,23-03-2021,1,,,Beijing CNBG - BBIBP-CorV,,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,No,No,No,No
Gambia,GMB,AFRO,REPORTING,26-07-2021,40810,30421,1.689,1.259,7355,0.304,10-03-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Georgia,GEO,EURO,REPORTING,25-07-2021,399076,260053,10,6.519,139023,3.485,17-03-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,Pfizer ,No,Sinovac,No,No
Germany,DEU,EURO,REPORTING,25-07-2021,89423523,50657861,107.5,60.911,38765662,49.416,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Ghana,GHA,AFRO,REPORTING,26-07-2021,1271393,865422,4.092,2.785,405971,1.307,02-03-2021,2,,,"Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,No,No,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Gibraltar,GIB,EURO,OWID,26-07-2021,78406,39329,232.721,116.734,39077,115.986,,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Greece,GRC,EURO,REPORTING,25-07-2021,10127435,5568404,94.5,51.951,4559031,45.509,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Greenland,GRL,EURO,OWID,27-07-2021,57767,35375,101.753,62.311,22392,39.442,,1,,,Moderna - mRNA-1273,,,No,Abdala,No,No,No,No,No,Moderna,No,No,No,No,No,No
Grenada,GRD,AMRO,REPORTING,23-07-2021,36524,21014,32.459,18.675,15510,13.784,15-02-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Guadeloupe,GLP,AMRO,REPORTING,23-07-2021,124136,75781,31.024,18.939,48355,12.085,08-01-2021,5,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
